ST,COUNTY ID,COUNTY NAME,AVAILABILITY_2019,USAGE_2019,AVAILABILITY_2020,USAGE_2020,AVAILABILITY_CHANGE,USAGE_CHANGE
OH,39111,Monroe County,0.0,0.07,0.3943,0.091,0.3943,0.02099999999999999
OK,40127,Pushmataha County,0.0,0.05,0.2598,0.077,0.2598,0.026999999999999996
TX,48461,Upton County,0.0,0.06,0.108,0.083,0.108,0.023000000000000007
KS,20097,Kiowa County,0.0,0.07,0.7899,0.247,0.7899,0.177
OK,40117,Pawnee County,0.0,0.05,0.3493,0.083,0.3493,0.033
GA,13301,Warren County,0.0,0.03,0.0019,0.049,0.0019,0.019000000000000003
MO,29197,Schuyler County,0.0,0.08,0.9197,0.161,0.9197,0.081
IL,17003,Alexander County,0.0,0.03,0.0009,0.104,0.0009,0.074
AZ,4001,Apache County,0.0,0.05,0.2304,0.074,0.2304,0.023999999999999994
AL,1063,Greene County,0.0,0.02,0.0085,0.013,0.0085,-0.007000000000000001
IN,18025,Crawford County,0.0,0.02,0.3453,0.054,0.3453,0.034
TX,48299,Llano County,0.0,0.14,0.9184,0.272,0.9184,0.132
NV,32013,Humboldt County,0.01,0.06,0.9074,0.18,0.8974,0.12
IL,17013,Calhoun County,0.01,0.02,0.7341,0.058,0.7241,0.038000000000000006
FL,12029,Dixie County,0.01,0.02,0.0078,0.041,-0.0022000000000000006,0.021
TX,48103,Crane County,0.01,0.07,0.1459,0.038,0.1359,-0.03200000000000001
LA,22107,Tensas Parish,0.01,0.03,0.0305,0.054,0.020499999999999997,0.024
SC,45069,Marlboro County,0.01,0.05,0.401,0.106,0.391,0.055999999999999994
ID,16049,Idaho County,0.01,0.06,0.726,0.422,0.716,0.362
MI,26119,Montmorency County,0.01,0.06,0.7015,0.098,0.6915,0.038000000000000006
KS,20025,Clark County,0.01,0.12,0.4734,0.246,0.4634,0.126
AR,5101,Newton County,0.01,0.03,0.1523,0.083,0.14229999999999998,0.053000000000000005
AR,5137,Stone County,0.01,0.04,0.415,0.11,0.40499999999999997,0.07
NE,31071,Garfield County,0.01,0.04,0.9025,0.23,0.8925,0.19
GA,13125,Glascock County,0.01,0.02,0.0101,0.033,9.99999999999994e-05,0.013000000000000001
NM,35053,Socorro County,0.02,0.12,0.0453,0.211,0.0253,0.091
TX,48327,Menard County,0.02,0.02,0.9097,0.05,0.8896999999999999,0.030000000000000002
TX,48307,McCulloch County,0.02,0.06,1.0,0.141,0.98,0.08099999999999999
MI,26135,Oscoda County,0.02,0.06,0.9561,0.077,0.9360999999999999,0.017
KS,20023,Cheyenne County,0.02,0.19,0.5201,0.271,0.5001,0.08100000000000002
GA,13007,Baker County,0.02,0.02,0.0329,0.022,0.012899999999999998,0.0019999999999999983
TX,48383,Reagan County,0.02,0.1,0.8306,0.149,0.8106,0.04899999999999999
MS,28055,Issaquena County,0.02,0.05,0.0173,0.145,-0.002700000000000001,0.09499999999999999
NE,31049,Deuel County,0.02,0.03,0.9409,0.111,0.9208999999999999,0.081
NE,31115,Loup County,0.03,0.04,0.8462,0.089,0.8161999999999999,0.048999999999999995
